Date,price,mana per won,won price
2018-10-12,21699.85714285714,77.0,1670889.0
2018-10-13,22435.428571428572,78.0,1749963.4285714286
2018-10-14,25312.2,78.0,1974351.6
2018-10-15,33583.333333333336,78.0,2619500.0
2018-10-16,18700.0,80.0,1496000.0
2018-10-17,20050.18181818182,81.0,1624064.7272727273
2018-10-18,31719.285714285714,82.0,2600981.4285714286
2018-10-19,18228.4,79.0,1440043.6
2018-10-20,36875.0,80.0,2950000.0
2018-10-21,25556.25,80.0,2044500.0
2018-10-22,40142.333333333336,83.0,3331813.6666666665
2018-10-23,20886.363636363636,82.0,1712681.8181818181
2018-10-24,16189.75,84.0,1359939.0
2018-10-25,20337.428571428572,83.0,1688006.5714285714
2018-10-26,18996.0,83.0,1576668.0
2018-10-27,18832.473684210527,84.0,1581927.7894736843
2018-10-28,21037.076923076922,87.0,1830225.6923076923
2018-10-29,17858.75,89.0,1589428.75
2018-10-30,18249.583333333332,83.0,1514715.4166666667
2018-10-31,16023.117647058823,85.0,1361965.0
2018-11-01,13621.285714285714,85.0,1157809.2857142857
2018-11-02,17181.04651162791,88.0,1511932.0930232557
2018-11-03,13984.083333333334,89.0,1244583.4166666667
2018-11-04,20757.25,86.0,1785123.5
2018-11-05,12816.875,85.0,1089434.375
2018-11-06,12399.125,87.0,1078723.875
2018-11-07,19467.071428571428,87.0,1693635.2142857143
2018-11-08,16001.933333333332,89.0,1424172.0666666667
2018-11-09,12901.96875,99.0,1277294.90625
2018-11-10,12606.894736842105,96.0,1210261.894736842
2018-11-11,9231.24,109.0,1006205.16
2018-11-12,17688.2,107.0,1892637.4
2018-11-13,13921.666666666666,116.0,1614913.3333333333
2018-11-14,17183.272727272728,117.0,2010442.9090909092
2018-11-15,18606.291666666668,100.0,1860629.1666666667
2018-11-16,21531.636363636364,105.0,2260821.8181818184
2018-11-17,14432.25,98.0,1414360.5
2018-11-18,11398.8,94.0,1071487.2
2018-11-19,20324.31818181818,98.0,1991783.1818181819
2018-11-20,16171.142857142857,79.0,1277520.2857142857
2018-11-21,15651.538461538461,66.0,1033001.5384615385
2018-11-22,20279.6,74.0,1500690.4
2018-11-23,16283.888888888889,69.0,1123588.3333333333
2018-11-24,34980.5,69.0,2413654.5
2018-11-25,27499.500000000004,61.0,1677469.5000000002
2018-11-26,14475.0,62.0,897450.0
2018-11-27,17363.176470588234,59.0,1024427.4117647059
2018-11-28,13818.64705882353,59.0,815300.1764705882
2018-11-29,16746.285714285714,68.0,1138747.4285714286
2018-11-30,13656.0,68.0,928608.0
2018-12-01,15193.222222222223,65.0,987559.4444444445
2018-12-02,12412.142857142857,71.0,881262.1428571428
2018-12-03,17133.6,71.0,1216485.6
2018-12-04,11405.666666666666,78.0,889642.0
2018-12-05,12222.2,73.0,892220.6
2018-12-06,18011.46153846154,65.0,1170745.0
2018-12-07,19485.428571428572,61.0,1188611.142857143
2018-12-08,17328.625,63.0,1091703.375
2018-12-09,15712.454545454546,65.0,1021309.5454545454
2018-12-10,17949.583333333332,68.0,1220571.6666666667
2018-12-11,17207.333333333332,64.0,1101269.3333333333
2018-12-12,18140.5,59.0,1070289.5
2018-12-13,10594.153846153846,61.0,646243.3846153846
2018-12-14,52605.71428571428,55.0,2893314.285714286
2018-12-15,19411.75,49.0,951175.75
2018-12-16,15439.57142857143,49.0,756539.0
2018-12-17,22511.5,51.0,1148086.5
2018-12-18,23083.166666666668,54.0,1246491.0
2018-12-19,27887.58823529412,55.0,1533817.3529411764
2018-12-20,22408.933333333334,53.0,1187673.4666666666
2018-12-21,16283.484848484848,60.0,977009.0909090909
